Date,Open,High,Low,Close,Volume,SMAVG (15)
2017-07-10 15:30,242.55,242.8,242.35,242.35,7045394,5495844
2017-07-10 14:30,242.58,242.64,242.44,242.5505,2837467,5543843
2017-07-10 13:30,242.63,242.74,242.56,242.58,2083392,5709067
2017-07-10 12:30,242.6,242.72,242.53,242.63,2514828,5822034
2017-07-10 11:30,242.39,242.68,242.37,242.6,3232377,5893125
2017-07-10 10:30,242.17,242.5699,242.03,242.39,4185734,6108809
2017-07-10 9:30,241.95,242.25,241.76,242.17,6839133,6734708
2017-07-07 15:30,242.1,242.26,242.02,242.08,11880682,6872571
2017-07-07 14:30,242.06,242.14,241.94,242.1,4003141,6393915
2017-07-07 13:30,242.2065,242.28,242.04,242.06,2684401,6403177
2017-07-07 12:30,242.12,242.23,242.08,242.2,2913020,6408146
2017-07-07 11:30,241.72,242.21,241.7,242.11,5226914,6462305
2017-07-07 10:30,241.37,241.785,241.23,241.73,5112552,6545086
2017-07-07 9:30,241.21,241.56,241.02,241.36,7691954,7029494
2017-07-06 15:30,240.64,240.72,240.34,240.58,14186671,6516697
2017-07-06 14:30,241.14,241.14,240.62,240.64,7765368,5570919
2017-07-06 13:30,241.8599,241.8599,240.95,241.149,5315830,5053228
2017-07-06 12:30,241.42,241.95,241.39,241.85,3777903,5238857
2017-07-06 11:30,241.51,241.8,241.38,241.43,3581186,5396159
2017-07-06 10:30,241.18,241.67,241.0201,241.5048,6467644,5513542
2017-07-06 9:30,241.89,242.03,240.84,241.19,13574212,5703425
2017-07-05 15:30,242.735,242.94,242.71,242.74,8907085,5780715
2017-07-05 14:30,242.86,243.01,242.44,242.74,4700838,5636633
2017-07-05 13:30,242.78,242.91,242.44,242.86,4142077,5605199
2017-07-05 12:30,242.57,242.88,242.54,242.775,2758928,5534082
2017-07-05 11:30,242.62,242.66,242.38,242.57,3725413,5683751
2017-07-05 10:30,241.96,242.74,241.88,242.6101,6468620,5806285
2017-07-05 9:30,242.63,242.71,241.7,241.97,12378674,6250268
2017-07-03 15:30,242.21,242.21,242.21,242.21,0,6316151
2017-07-03 14:30,242.21,242.21,242.21,242.21,0,6997706
2017-07-03 13:30,242.21,242.21,242.21,242.21,0,8043968
2017-07-03 12:30,242.69,242.825,242.21,242.21,8100278,8938698
2017-07-03 11:30,243.1465,243.23,242.41,242.6925,6137431,9279024
2017-07-03 10:30,243.03,243.33,242.99,243.15,5341923,9487827
2017-07-03 9:30,242.88,243.38,242.88,243.03,9315897,10122228
2017-06-30 15:30,242.47,242.71,241.73,241.79,14733556,10207740
2017-06-30 14:30,242.291,242.55,242.2744,242.4754,6745857,9588430
2017-06-30 13:30,242.17,242.36,242.02,242.295,4229334,9504121
2017-06-30 12:30,242.025,242.18,241.84,242.16,3075312,9505638
2017-06-30 11:30,241.69,242.16,241.5861,242.03,5003960,9682108
2017-06-30 10:30,241.91,242.02,241.58,241.68,5563435,9888015
2017-06-30 9:30,242.28,242.55,241.575,241.92,13128360,10342628
2017-06-29 15:30,241.49,241.98,241.35,241.39,13366911,10561896
2017-06-29 14:30,241.48,241.9,241.18,241.49,10223339,10206661
2017-06-29 13:30,240.12,241.51,240.12,241.4873,15693924,10426266
2017-06-29 12:30,241.43,241.56,239.955,240.13,13420946,9779839
2017-06-29 11:30,241.89,241.91,241.09,241.44,13205180,9098182
